Publication_Year,Region,Country,Category,Store_Types,RMS_Coverage_Type,Channel_Contribution,
2023,MEANAP,Algeria,Baby Food,Pharmacies,%Covered,44%,
2023,MEANAP,Algeria,Baby Food,Medium Food Str.,%Covered,21%,
2023,MEANAP,Algeria,Baby Food,Small Food Str.,%Covered,7%,
2023,MEANAP,Algeria,Baby Food,Hypermrkts,%Covered,4%,
2023,MEANAP,Algeria,Baby Food,Geographical Gap,%Not Covered,22%,
2023,MEANAP,Algeria,Baby Food,Oth.Chnls.,%Not Covered,1%,
2023,MEANAP,Algeria,Baby Food,Wholesalers,%Not Covered,1%,
2023,MEANAP,Algeria,Carbonated Soft Drinks,Medium Food Str.,%Covered,28%,
2023,MEANAP,Algeria,Carbonated Soft Drinks,Small Food Str.,%Covered,24%,
2023,MEANAP,Algeria,Carbonated Soft Drinks,Restaurants/Hotels,%Covered,23%,
2023,MEANAP,Algeria,Carbonated Soft Drinks,Hypermrkts,%Covered,2%,
2023,MEANAP,Algeria,Carbonated Soft Drinks,Geographical Gap,%Not Covered,16%,
2023,MEANAP,Algeria,Carbonated Soft Drinks,Other Horeca,%Not Covered,3%,
2023,MEANAP,Algeria,Carbonated Soft Drinks,Oth.Chnls.,%Not Covered,2%,
2023,MEANAP,Algeria,Carbonated Soft Drinks,Wholesalers,%Not Covered,1%,
2023,MEANAP,Algeria,Carbonated Soft Drinks,Oth.Spec.Food,%Not Covered,1%,
2023,MEANAP,Algeria,Carbonated Soft Drinks,Kiosks,%Not Covered,1%,
2023,MEANAP,Algeria,Cigarettes,Drugstores,%Covered,66%,
2023,MEANAP,Algeria,Cigarettes,Geographical Gap,%Not Covered,20%,
2023,MEANAP,Algeria,Cigarettes,Oth.Chnls.,%Not Covered,12%,
2023,MEANAP,Algeria,Cigarettes,Kiosks,%Not Covered,1%,
2023,MEANAP,Algeria,Cigarettes,Wholesalers,%Not Covered,1%,
2023,MEANAP,Algeria,Commodity - Shelf Stable,Medium Food Str.,%Covered,36%,
2023,MEANAP,Algeria,Commodity - Shelf Stable,Small Food Str.,%Covered,28%,
2023,MEANAP,Algeria,Commodity - Shelf Stable,Hypermrkts,%Covered,4%,
2023,MEANAP,Algeria,Commodity - Shelf Stable,Geographical Gap,%Not Covered,30%,
2023,MEANAP,Algeria,Commodity - Shelf Stable,Wholesalers,%Not Covered,2%,
2023,MEANAP,Algeria,Dairy Products,Medium Food Str.,%Covered,37%,
2023,MEANAP,Algeria,Dairy Products,Small Food Str.,%Covered,30%,
2023,MEANAP,Algeria,Dairy Products,Hypermrkts,%Covered,4%,
2023,MEANAP,Algeria,Dairy Products,Geographical Gap,%Not Covered,26%,
2023,MEANAP,Algeria,Dairy Products,Dairy,%Not Covered,2%,
2023,MEANAP,Algeria,Dairy Products,Wholesalers,%Not Covered,1%,
2023,MEANAP,Algeria,Diapers and Wipes,Medium Food Str.,%Covered,27%,
2023,MEANAP,Algeria,Diapers and Wipes,Drugstores,%Covered,20%,
2023,MEANAP,Algeria,Diapers and Wipes,Small Food Str.,%Covered,18%,
2023,MEANAP,Algeria,Diapers and Wipes,Pharmacies,%Covered,5%,
